Row-names,Symbol,logFC,adj-P-Val,data
AC012065.4,NA,-0.293235255,0.725654697, 
AC012074.2,NA,0.034375881,1, 
AC012123.1,NA,0.564629731,0.630177114, 
AC012146.7,NA,1.306507949,0.605735325, 
AC012309.5,NA,-0.548080286,0.546482722, 
AC012313.1,NA,-2.688013131,0.240827421, 
AC012314.8,NA,-0.095627049,0.932130121, 
AC012317.1,NA,0.760369159,0.836388303, 
AC012322.1,NA,0,1, 
AC012354.6,NA,0,1, 
AC012358.4,NA,0,1, 
AC012358.8,NA,-0.788278809,0.670924153, 
AC012361.1,NA,-0.038492406,1, 
AC012363.13,NA,-0.080952174,0.946040182, 
AC012370.2,NA,0.12984354,0.887096924, 
AC012379.1,NA,0.047932961,1, 
AC012414.1,NA,-1.6365977,0.382245228, 
AC012441.1,NA,0,1, 
AC012442.6,NA,0,1, 
AC012457.2,NA,-0.295841757,0.765002606, 
AC012462.1,NA,0,1, 
AC012462.2,NA,-0.291489706,0.726966512, 
AC012487.2,NA,-1.500078504,0.504620181, 
AC012494.1,NA,-0.800482811,0.757304723, 
AC012499.1,NA,-0.672071328,0.546917857, 
AC012501.2,NA,0.055598105,0.989236758, 
AC012506.1,NA,0,1, 
AC012506.2,NA,-1.292581417,0.760720962, 
AC012506.3,NA,0,1, 
AC012506.4,NA,0,1, 
AC012507.3,NA,-3.461611522,0.054829422, 
AC012507.4,NA,-0.953695425,0.313675821, 
AC012594.1,NA,-0.340953652,0.821814645, 
AC013264.2,NA,-0.119965315,0.992576787, 
AC013268.3,NA,0,1, 
AC013269.5,NA,-0.25534729,0.730831541, 
AC013271.3,NA,0.050190284,1, 
AC013394.2,NA,-0.173792679,0.913600052, 
AC013402.5,NA,0.631934408,0.760441417, 
AC013436.6,NA,-0.379167841,0.684518091, 
AC013448.2,NA,0,1, 
AC013449.1,NA,-0.581623088,0.669047862, 
AC013460.1,NA,-2.165063092,0.34635845, 
AC013480.2,NA,-0.483553803,0.763991711, 
AC013733.3,NA,-0.486477206,0.730288927, 
AC015818.3,NA,-1.909752937,0.214668511, 
AC015849.16,NA,-1.233765999,0.604378368, 
AC015849.2,NA,-0.09791806,1, 
AC015871.1,NA,-0.379167841,0.815525723, 
AC015922.5,NA,-0.907488675,0.667342364, 
AC015922.6,NA,-0.220988337,0.768185457, 
AC015969.3,NA,-0.02062294,1, 
AC015971.2,NA,0.060714131,0.982528881, 
AC015977.6,NA,-0.46866412,0.774975318, 
AC016582.2,NA,-0.220988337,0.787802729, 
AC016586.1,NA,-2.027661641,0.455444022, 
AC016629.8,NA,0.165002837,1, 
AC016700.2,NA,0,1, 
AC016700.3,NA,0.11343547,0.952674477, 
AC016700.5,NA,-0.518605385,0.659961384, 
AC016710.1,NA,0,1, 
AC016722.3,NA,0,1, 
AC016722.4,NA,0.055598105,0.989236758, 
AC016735.2,NA,-0.622819064,0.779021629, 
AC016735.3,NA,-1.067545128,0.514122467, 
AC016738.4,NA,-0.661293445,0.63640505, 
